fid,building_volume,population_density,greenhouse_coverage,road_density,light_pollution,city
7702,971944.875,77.15455,0.0,39.89175,149.0,Amsterdam
7703,98811.05469,160.63795,0.0,24.72837,128.0,Amsterdam
7704,15031.04492,92.33234,0.0,8.78334,91.0,Amsterdam
7705,4599.1748,44.07218,0.0,0.32361,82.0,Amsterdam
7706,0.0,0.0,0.0,0.909,104.0,Amsterdam
7707,3156.04688,41.37383,0.0,11.104,104.0,Amsterdam
7708,29164.3418,70.60963,0.0,11.9853,138.0,Amsterdam
7709,736150.5,286.74509,0.0,44.82137,187.0,Amsterdam
7710,648467.375,712.08423,0.0,68.42097,179.0,Amsterdam
7711,1670436.625,491.51105,0.0,37.39379,202.0,Amsterdam
7712,479276.65625,623.53168,0.0,31.09186,202.0,Amsterdam
7713,474972.40625,308.04855,0.0,47.24208,210.0,Amsterdam
7714,77039.77344,97.8316,0.0,24.23683,219.0,Amsterdam
7715,351817.96875,655.37573,0.0,78.53539,164.0,Amsterdam
7716,627070.75,207.87177,0.0,22.59502,80.0,Amsterdam
7717,0.0,0.56626,0.0,12.74884,80.0,Amsterdam
7718,0.0,5.2834,0.0,7.97038,60.0,Amsterdam
7719,677.39441,11.60448,0.0,31.25736,79.0,Amsterdam
7720,0.0,3.71317,0.0,21.21293,81.0,Amsterdam
7721,0.0,0.0,0.0,17.86666,54.0,Amsterdam
7722,0.0,0.0,0.0,21.31465,41.0,Amsterdam
7723,0.0,0.0,0.0,35.41345,41.0,Amsterdam
7724,514.95868,0.0,0.0,19.91672,39.0,Amsterdam
7725,0.0,1.60448,0.0,19.44802,40.0,Amsterdam
7726,0.0,0.0,0.0,9.93302,44.0,Amsterdam
7727,571.38318,18.31692,0.0,12.0795,85.0,Amsterdam
7728,917.02472,935.07263,0.0,29.54726,85.0,Amsterdam
7729,0.0,401.03012,0.0,27.97748,191.0,Amsterdam
7730,291931.78125,574.47894,0.0,25.37372,280.0,Amsterdam
7731,921746.125,1160.11987,0.0,30.40851,344.0,Amsterdam
7732,5071131.5,1318.80811,0.0,44.0559,310.0,Amsterdam
7733,1116395.5,1312.95093,0.0,34.07127,310.0,Amsterdam
7734,2002481.375,1416.20239,0.0,42.71208,277.0,Amsterdam
7735,1386659.25,1176.24146,0.0,47.65606,277.0,Amsterdam
7736,517102.65625,921.02869,0.0,22.03047,234.0,Amsterdam
7737,3243222.5,1288.96167,0.0,42.83733,227.0,Amsterdam
7738,537488.9375,1169.03735,0.0,29.59907,227.0,Amsterdam
7739,1671182.75,698.57214,0.0,50.41772,264.0,Amsterdam
7740,425835.46875,1015.80164,0.0,37.30042,277.0,Amsterdam
7741,316304.4375,799.0755,0.0,48.55105,264.0,Amsterdam
7742,308670.34375,1234.65564,0.0,45.52313,308.0,Amsterdam
